"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","genre"
"34",0.563,0.772,5,-6.737,1,0.0593,0.00101,0.0000195,0.214,0.394,119.909,"audio_features","4YX7OBp0yoMwC6eZNNg5ky","spotify:track:4YX7OBp0yoMwC6eZNNg5ky","https://api.spotify.com/v1/tracks/4YX7OBp0yoMwC6eZNNg5ky","https://api.spotify.com/v1/audio-analysis/4YX7OBp0yoMwC6eZNNg5ky",180243,4,"country"
"35",0.489,0.898,5,-4.369,1,0.0365,0.025,0.00000411,0.255,0.763,164.032,"audio_features","2Fh8q3YYsCG0VlNeJ3rb2w","spotify:track:2Fh8q3YYsCG0VlNeJ3rb2w","https://api.spotify.com/v1/tracks/2Fh8q3YYsCG0VlNeJ3rb2w","https://api.spotify.com/v1/audio-analysis/2Fh8q3YYsCG0VlNeJ3rb2w",183723,4,"country"
"36",0.631,0.658,5,-5.313,1,0.0281,0.144,0,0.22,0.7,80.996,"audio_features","2Nc8Imt04W3ZmcBF8dPQKc","spotify:track:2Nc8Imt04W3ZmcBF8dPQKc","https://api.spotify.com/v1/tracks/2Nc8Imt04W3ZmcBF8dPQKc","https://api.spotify.com/v1/audio-analysis/2Nc8Imt04W3ZmcBF8dPQKc",227573,4,"country"
"37",0.586,0.772,11,-4.531,0,0.0319,0.0488,0,0.359,0.464,112.94,"audio_features","1ayRqc7FrXbRnFxwDIPm7H","spotify:track:1ayRqc7FrXbRnFxwDIPm7H","https://api.spotify.com/v1/tracks/1ayRqc7FrXbRnFxwDIPm7H","https://api.spotify.com/v1/audio-analysis/1ayRqc7FrXbRnFxwDIPm7H",217626,4,"country"
"38",0.488,0.637,10,-7.63,1,0.0401,0.265,0,0.106,0.23,88.872,"audio_features","1KTLLe980WR4RLKg74Ud6e","spotify:track:1KTLLe980WR4RLKg74Ud6e","https://api.spotify.com/v1/tracks/1KTLLe980WR4RLKg74Ud6e","https://api.spotify.com/v1/audio-analysis/1KTLLe980WR4RLKg74Ud6e",208653,4,"country"
"39",0.543,0.836,6,-5.477,1,0.055,0.00909,0,0.162,0.695,120.071,"audio_features","0TiyDTDc569zUUa9wyiRD7","spotify:track:0TiyDTDc569zUUa9wyiRD7","https://api.spotify.com/v1/tracks/0TiyDTDc569zUUa9wyiRD7","https://api.spotify.com/v1/audio-analysis/0TiyDTDc569zUUa9wyiRD7",178772,4,"country"
"40",0.596,0.544,10,-7.294,1,0.0315,0.397,0,0.106,0.393,147.976,"audio_features","2dWgzqawzDkBL8QfZw92Ub","spotify:track:2dWgzqawzDkBL8QfZw92Ub","https://api.spotify.com/v1/tracks/2dWgzqawzDkBL8QfZw92Ub","https://api.spotify.com/v1/audio-analysis/2dWgzqawzDkBL8QfZw92Ub",224853,4,"country"
"41",0.597,0.721,9,-6.422,1,0.0356,0.0362,0,0.0832,0.437,132.054,"audio_features","6LF5IVPG7xBcvPgI6Bfcsl","spotify:track:6LF5IVPG7xBcvPgI6Bfcsl","https://api.spotify.com/v1/tracks/6LF5IVPG7xBcvPgI6Bfcsl","https://api.spotify.com/v1/audio-analysis/6LF5IVPG7xBcvPgI6Bfcsl",149293,4,"country"
"42",0.663,0.738,7,-5.48,1,0.0303,0.032,0.000225,0.0856,0.825,130.02,"audio_features","30MM5jWpUmOxtTNd9Ey5LZ","spotify:track:30MM5jWpUmOxtTNd9Ey5LZ","https://api.spotify.com/v1/tracks/30MM5jWpUmOxtTNd9Ey5LZ","https://api.spotify.com/v1/audio-analysis/30MM5jWpUmOxtTNd9Ey5LZ",157080,4,"country"
"43",0.716,0.718,0,-5.355,1,0.0293,0.0896,0,0.473,0.537,100.934,"audio_features","7rdK9NSJIRBZAiXC0vuBS9","spotify:track:7rdK9NSJIRBZAiXC0vuBS9","https://api.spotify.com/v1/tracks/7rdK9NSJIRBZAiXC0vuBS9","https://api.spotify.com/v1/audio-analysis/7rdK9NSJIRBZAiXC0vuBS9",185707,4,"country"
"44",0.492,0.681,6,-7.038,1,0.075,0.143,0,0.199,0.511,178.01,"audio_features","1mJMD1VIQ7jWTP9DK2zmY0","spotify:track:1mJMD1VIQ7jWTP9DK2zmY0","https://api.spotify.com/v1/tracks/1mJMD1VIQ7jWTP9DK2zmY0","https://api.spotify.com/v1/audio-analysis/1mJMD1VIQ7jWTP9DK2zmY0",212445,4,"country"
"45",0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,"audio_features","7iDa6hUg2VgEL1o1HjmfBn","spotify:track:7iDa6hUg2VgEL1o1HjmfBn","https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn","https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn",163870,4,"country"
"46",0.603,0.625,6,-6.563,1,0.0258,0.302,0,0.141,0.651,96.02,"audio_features","0Is6MRHWKe7y2xIxDkvO6l","spotify:track:0Is6MRHWKe7y2xIxDkvO6l","https://api.spotify.com/v1/tracks/0Is6MRHWKe7y2xIxDkvO6l","https://api.spotify.com/v1/audio-analysis/0Is6MRHWKe7y2xIxDkvO6l",192920,4,"country"
"47",0.49,0.88,7,-5.185,1,0.0731,0.081,0,0.103,0.493,91.93,"audio_features","1dbRZljBhUrIFrpLTXOXqq","spotify:track:1dbRZljBhUrIFrpLTXOXqq","https://api.spotify.com/v1/tracks/1dbRZljBhUrIFrpLTXOXqq","https://api.spotify.com/v1/audio-analysis/1dbRZljBhUrIFrpLTXOXqq",170440,4,"country"
"48",0.659,0.902,7,-6.192,1,0.0296,0.13,0.0000945,0.0574,0.809,124.985,"audio_features","77a5Eu7lC3tG0Sukt2O91U","spotify:track:77a5Eu7lC3tG0Sukt2O91U","https://api.spotify.com/v1/tracks/77a5Eu7lC3tG0Sukt2O91U","https://api.spotify.com/v1/audio-analysis/77a5Eu7lC3tG0Sukt2O91U",230013,4,"country"
"49",0.549,0.751,9,-5.423,1,0.0299,0.122,0,0.208,0.493,89.953,"audio_features","3I7krC8kr0gFR7P6vInR1I","spotify:track:3I7krC8kr0gFR7P6vInR1I","https://api.spotify.com/v1/tracks/3I7krC8kr0gFR7P6vInR1I","https://api.spotify.com/v1/audio-analysis/3I7krC8kr0gFR7P6vInR1I",234306,4,"country"
"50",0.607,0.575,8,-7.066,1,0.0252,0.133,0.00000252,0.0566,0.504,78.341,"audio_features","06gD2ZtK3Dzc1BYqWExQJJ","spotify:track:06gD2ZtK3Dzc1BYqWExQJJ","https://api.spotify.com/v1/tracks/06gD2ZtK3Dzc1BYqWExQJJ","https://api.spotify.com/v1/audio-analysis/06gD2ZtK3Dzc1BYqWExQJJ",180907,4,"country"
"51",0.836,0.552,7,-5.66,1,0.0851,0.0433,0,0.0773,0.525,97.036,"audio_features","5BG3hnp2SmFmoBIs3YTqsm","spotify:track:5BG3hnp2SmFmoBIs3YTqsm","https://api.spotify.com/v1/tracks/5BG3hnp2SmFmoBIs3YTqsm","https://api.spotify.com/v1/audio-analysis/5BG3hnp2SmFmoBIs3YTqsm",218173,4,"pop"
"52",0.755,0.448,7,-9.587,1,0.107,0.0283,0.0000328,0.514,0.318,77.179,"audio_features","6T8cJz5lAqGer9GUHGyelE","spotify:track:6T8cJz5lAqGer9GUHGyelE","https://api.spotify.com/v1/tracks/6T8cJz5lAqGer9GUHGyelE","https://api.spotify.com/v1/audio-analysis/6T8cJz5lAqGer9GUHGyelE",198960,4,"pop"
"53",0.573,0.591,11,-6.715,0,0.331,0.0107,0,0.455,0.232,86.721,"audio_features","1W6wxOOYyJyyok8fqYSZ3m","spotify:track:1W6wxOOYyJyyok8fqYSZ3m","https://api.spotify.com/v1/tracks/1W6wxOOYyJyyok8fqYSZ3m","https://api.spotify.com/v1/audio-analysis/1W6wxOOYyJyyok8fqYSZ3m",230713,5,"pop"
"54",0.715,0.62,5,-5.428,0,0.0507,0.0322,0.0142,0.0881,0.456,96.812,"audio_features","12SJpYZEdj4kzWZ8FPFg4Y","spotify:track:12SJpYZEdj4kzWZ8FPFg4Y","https://api.spotify.com/v1/tracks/12SJpYZEdj4kzWZ8FPFg4Y","https://api.spotify.com/v1/audio-analysis/12SJpYZEdj4kzWZ8FPFg4Y",235540,4,"pop"
"55",0.483,0.799,2,-4.567,0,0.0366,0.0188,0,0.226,0.171,112.946,"audio_features","5hM6sP0Gh1jD57drszNueC","spotify:track:5hM6sP0Gh1jD57drszNueC","https://api.spotify.com/v1/tracks/5hM6sP0Gh1jD57drszNueC","https://api.spotify.com/v1/audio-analysis/5hM6sP0Gh1jD57drszNueC",244293,4,"pop"
"56",0.615,0.833,9,-3.377,1,0.39,0.0524,0,0.171,0.538,212.117,"audio_features","6MNGxu8MprKGkchUchkJsy","spotify:track:6MNGxu8MprKGkchUchkJsy","https://api.spotify.com/v1/tracks/6MNGxu8MprKGkchUchkJsy","https://api.spotify.com/v1/audio-analysis/6MNGxu8MprKGkchUchkJsy",181733,4,"pop"
"57",0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,"audio_features","3Vo4wInECJQuz9BIBMOu8i","spotify:track:3Vo4wInECJQuz9BIBMOu8i","https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i","https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i",217289,4,"pop"
"58",0.707,0.632,10,-7.031,1,0.0789,0.103,0.0000109,0.0841,0.372,97.04,"audio_features","1LhMopPAallLeaeNutqbgS","spotify:track:1LhMopPAallLeaeNutqbgS","https://api.spotify.com/v1/tracks/1LhMopPAallLeaeNutqbgS","https://api.spotify.com/v1/audio-analysis/1LhMopPAallLeaeNutqbgS",278893,4,"pop"
"59",0.548,0.58,11,-7.524,0,0.121,0.104,0,0.127,0.462,180.066,"audio_features","7jqDzXJS0K0Re8uphYNit0","spotify:track:7jqDzXJS0K0Re8uphYNit0","https://api.spotify.com/v1/tracks/7jqDzXJS0K0Re8uphYNit0","https://api.spotify.com/v1/audio-analysis/7jqDzXJS0K0Re8uphYNit0",193893,4,"pop"
"60",0.65,0.758,2,-4.02,1,0.116,0.166,0,0.0889,0.663,94.9,"audio_features","5HwnezK198pJCEj1l2Adjy","spotify:track:5HwnezK198pJCEj1l2Adjy","https://api.spotify.com/v1/tracks/5HwnezK198pJCEj1l2Adjy","https://api.spotify.com/v1/audio-analysis/5HwnezK198pJCEj1l2Adjy",177160,4,"pop"
"61",0.876,0.55,2,-5.464,1,0.152,0.0227,0.0000452,0.294,0.557,129.924,"audio_features","6u0EAxf1OJTLS7CvInuNd7","spotify:track:6u0EAxf1OJTLS7CvInuNd7","https://api.spotify.com/v1/tracks/6u0EAxf1OJTLS7CvInuNd7","https://api.spotify.com/v1/audio-analysis/6u0EAxf1OJTLS7CvInuNd7",201532,4,"pop"
"62",0.748,0.652,7,-3.02,1,0.058,0.208,0,0.128,0.431,106.914,"audio_features","2ARqIya5NAuvFVHSN3bL0m","spotify:track:2ARqIya5NAuvFVHSN3bL0m","https://api.spotify.com/v1/tracks/2ARqIya5NAuvFVHSN3bL0m","https://api.spotify.com/v1/audio-analysis/2ARqIya5NAuvFVHSN3bL0m",184732,4,"pop"
