"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","Position","Track.Name","Artist","Streams","URL"
"48",0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,"audio_features","0tKcYR2II1VCQWT79i5NrW","spotify:track:0tKcYR2II1VCQWT79i5NrW","https://api.spotify.com/v1/tracks/0tKcYR2II1VCQWT79i5NrW","https://api.spotify.com/v1/audio-analysis/0tKcYR2II1VCQWT79i5NrW",187147,4,48,"Thunder","Imagine Dragons",1326244,"https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW"
"49",0.807,0.681,11,-6.268,1,0.0983,0.423,0,0.0962,0.676,140.006,"audio_features","5hcisvFMidkMJlElTO9Qmw","spotify:track:5hcisvFMidkMJlElTO9Qmw","https://api.spotify.com/v1/tracks/5hcisvFMidkMJlElTO9Qmw","https://api.spotify.com/v1/audio-analysis/5hcisvFMidkMJlElTO9Qmw",297485,4,49,"Sensualidad","Bad Bunny",1293037,"https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw"
"50",0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,"audio_features","7GX5flRQZVHRAGd6B4TmDO","spotify:track:7GX5flRQZVHRAGd6B4TmDO","https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO","https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO",182707,4,50,"XO TOUR Llif3","Lil Uzi Vert",1282275,"https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO"
"51",0.544,0.379,7,-9.113,0,0.0412,0.863,0,0.083,0.322,199.756,"audio_features","4QfNOZN7vrQCQKK1ZJ3XPb","spotify:track:4QfNOZN7vrQCQKK1ZJ3XPb","https://api.spotify.com/v1/tracks/4QfNOZN7vrQCQKK1ZJ3XPb","https://api.spotify.com/v1/audio-analysis/4QfNOZN7vrQCQKK1ZJ3XPb",191813,3,51,"Heaven","Julia Michaels",1229882,"https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb"
"52",0.936,0.588,7,-6.948,0,0.136,0.0146,0,0.139,0.238,124.987,"audio_features","0wbnC9AUenxp613TYaJsGK","spotify:track:0wbnC9AUenxp613TYaJsGK","https://api.spotify.com/v1/tracks/0wbnC9AUenxp613TYaJsGK","https://api.spotify.com/v1/audio-analysis/0wbnC9AUenxp613TYaJsGK",255379,4,52,"Narcos","Migos",1225822,"https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK"
"53",0.88,0.428,9,-8.28,1,0.206,0.149,0.0000507,0.114,0.333,100.007,"audio_features","7sO5G9EABYOXQKNPNiE9NR","spotify:track:7sO5G9EABYOXQKNPNiE9NR","https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR","https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR",172800,4,53,"Ric Flair Drip (& Metro Boomin)","Offset",1205166,"https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR"
"54",0.845,0.709,10,-4.547,0,0.0714,0.0233,0,0.094,0.62,98.062,"audio_features","2z4pcBLQXF2BXKFvd0BuB6","spotify:track:2z4pcBLQXF2BXKFvd0BuB6","https://api.spotify.com/v1/tracks/2z4pcBLQXF2BXKFvd0BuB6","https://api.spotify.com/v1/audio-analysis/2z4pcBLQXF2BXKFvd0BuB6",187521,4,54,"Tip Toe (feat. French Montana)","Jason Derulo",1158472,"https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6"
"55",0.719,0.842,6,-3.562,0,0.0383,0.132,0,0.105,0.534,90.017,"audio_features","2vvdTrdryjsl8DmPIMDWZU","spotify:track:2vvdTrdryjsl8DmPIMDWZU","https://api.spotify.com/v1/tracks/2vvdTrdryjsl8DmPIMDWZU","https://api.spotify.com/v1/audio-analysis/2vvdTrdryjsl8DmPIMDWZU",228139,4,55,"EL BAÑO","Enrique Iglesias",1155797,"https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU"
"56",0.526,0.52,6,-7.985,0,0.0569,0.435,0,0.197,0.13,149.119,"audio_features","0OlnLZY4cmQzT6ZGttvWBM","spotify:track:0OlnLZY4cmQzT6ZGttvWBM","https://api.spotify.com/v1/tracks/0OlnLZY4cmQzT6ZGttvWBM","https://api.spotify.com/v1/audio-analysis/0OlnLZY4cmQzT6ZGttvWBM",183637,4,56,"So Far Away","Martin Garrix",1141926,"https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM"
"57",0.904,0.611,1,-6.842,0,0.0888,0.000259,0.0000203,0.0976,0.4,150.02,"audio_features","7KXjTSCq5nL1LoYtL7XAwS","spotify:track:7KXjTSCq5nL1LoYtL7XAwS","https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS","https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS",177000,4,57,"HUMBLE.","Kendrick Lamar",1136452,"https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS"
